Team,Hex Color Background,Hex Color Font
Arizona Diamondbacks,#A71930,#E3D4AD
Atlanta Braves,#CE1141,#13274F
Baltimore Orioles,#000000,#DF4601
Boston Red Sox,#FFFFFF,#BD3039
Chicago Cubs,#0E3386,#CC3433
Chicago White Sox,#27251F,#C4CED4
Cincinnati Reds,#C6011F,#FFFFFF
Cleveland Guardians,#E50022,#00385D
Colorado Rockies,#333366,#C4CED4
Detroit Tigers,#0C2340,#FA4616
Houston Astros,#EB6E1F,#002D62
Kansas City Royals,#004687,#BD9B60
Los Angeles Angels,#BA0021,#FFFFFF
Los Angeles Dodgers,#005A9C,#FFFFFF
Miami Marlins,#00A3E0,#000000
Milwaukee Brewers,#FFC52F,#12284B
Minnesota Twins,#002B5C,#D31145
New York Mets,#002D72,#FF5910
New York Yankees,#0C2340,#FFFFFF
Oakland Athletics,#003831,#EFB21E
Philadelphia Phillies,#E81828,#FFFFFF
Pittsburgh Pirates,#27251F,#FDB827
San Diego Padres,#2F241D,#FFC425
San Francisco Giants,#27251F,#FD5A1E
Seattle Mariners,#0C2C56,#005C5C
St. Louis Cardinals,#C41E3A,#FEDB00
Tampa Bay Rays,#8FBCE6,#F5D130
Texas Rangers,#003278,#C0111F
Toronto Blue Jays,#134A8E,#FFFFFF
Washington Nationals,#AB0003,#14225A
