Team,Hex Color Background,Hex Color Font
Atlanta Hawks,#C8102E,#FDB927
Boston Celtics,#007A33,#FFFFFF
Brookyln Nets,#000000,#FFFFFF
Charlotte Hornets,#00788C,#A1A1A4
Chicago Bulls,#CE1141,#000000
Cleveland Cavaliers,#860038,#FDBB30
Dallas Mavericks,#002B5E,#B8C4CA
Denver Nuggets,#0E2240,#FEC524
Detroit Pistons,#1D42BA,#C8102E
Golden State Warriors,#FFC72C,#1D428A
Houston Rockets,#CE1141,#C4CED4
Indiana Pacers,#FDBB30,#002D62
Los Angeles Clippers,#1D428A,#C8102E
Los Angeles Lakers,#FDB927,#552583
Memphis Grizzlies,#5D76A9,#707271
Miami Heat,#000000,#98002E
Milwaukee Bucks,#00471B,#EEE1C6
Minnesota Timberwolves,#236192,#9EA2A2
New Orleans Pelicans,#0C2340,#85714D
New York Knicks,#006BB6,#F58426
Oklahoma City Thunder,#007AC1,#EF3B24
Orlando Magic,#0077C0,#000000
Philadelphia 76ers,#FFFFFF,#006BB6
Phoenix Suns,#1D1160,#E56020
Portland Trail Blazers,#000000,#E03A3E
Sacramento Kings,#5A2D81,#63727A
San Antonio Spurs,#C4CED4,#000000
Toronto Raptors,#753BBD,#CE1141
Utah Jazz,#00471B,#F9A01B
Washington Wizards,#002B5C,#E31837
