Team,Hex Color Background,Hex Color Font
Arizona Cardinals,#97233F,#000000
Atlanta Falcons,#000000,#A71930
Baltimore Ravens,#241773,#000000
Buffalo Bills,#FFFFFF,#C60C30
Carolina Panthers,#0085CA,#101820
Chicago Bears,#0B162A,#FFFFFF
Cincinnati Bengals,#FB4F14,#000000
Cleveland Browns,#311D00,#FF3C00
Dallas Cowboys,#869397,#041E42
Denver Broncos,#FB4F14,#002244
Detroit Lions,#0076B6,#B0B7BC
Green Bay Packers,#203731,#FFB612
Houston Texans,#03202F,#A71930
Indianapolis Colts,#002C5F,#FFFFFF
Jacksonville Jaguars,#006778,#D7A22A
Kansas City Chiefs,#E31837,#FFFFFF
Las Vegas Raiders,#A5ACAF,#000000
Los Angeles Chargers,#0080C6,#FFC20E
Los Angeles Rams,#003594,#FFD100
Miami Dolphins,#008E97,#FC4C02
Minnesota Vikings,#4F2683,#FFC62F
New England Patriots,#C60C30,#002244
New Orleans Saints,#D3BC8D,#101820
New York Giants,#0B2265,#A71930
New York Jets,#125740,#FFFFFF
Philadelphia Eagles,#004C54,#A5ACAF
Pittsburgh Steelers,#FFB612,#101820
San Francisco 49ers,#AA0000,#B3995D
Seattle Seahawks,#002244,#69BE28
Tampa Bay Buccaneers,#D50A0A,#34302B
Tennessee Titans,#4B92DB,#A2AAAD
Washington Commanders,#5A1414,#FFB612
